Drug,SN,Title,"String (where the line starts with ""-"", display as nested bullet point",
Amoxicillin,1,"Ear, Nose, & Throat Infections","Mild to moderate infections
<3 months: ≤30 mg/kg/day PO divided q12hr for 48-72 hours; for ≥10 days for S pyogenes infections
>3 months and <40 kg: 25 mg/kg/day PO divided q12hr or 20 mg/kg/day PO divided q8hr 
>40 kg: 500 mg PO q12hr or 250 mg PO q8hr for 10-14 days

Severe infections
<3 months: ≤30 mg/kg/day PO divided q12hr for 48-72 hours; for ≥10 days for S pyogenes infections
>3 months and <40 kg: 45 mg/kg/day PO divided q12hr or 40 mg/kg/day PO divided q8hr  
>40 kg: 875 mg PO q12hr or 500 mg PO q8hr for 10-14 days",
Amoxicillin,2,Acute Otitis Media,">3 months and <40kg: 80-90 mg/kg/day PO divided q8-12hr 
>40 kg: 500 mg PO q12hr or 250 mg PO q8hr for 10-14 days",
Amoxicillin,3,Lower Respiratory Tract Infections,"Mild, moderate, or severe infections
<3 months: ≤30 mg/kg/day PO divided q12hr for 48-72 hours; for ≥10 days for S pyogenes infections  
>3 months and <40 kg: 45 mg/kg/day PO divided q12hr or 40 mg/kg/day PO divided q8hr
>40kg: 875 mg PO q12hr or 500 mg PO q8hr for 10-14 days

Pneumonia, community-acquired (Off-label)
<3 months: Safety and efficacy not established
≥3 months:
Immediate release
Empiric treatment: 90 mg/kg/day PO divided q12 hr for 10 days; not to exceed 4,000 mg/day
Group A Streptococcus: 50-75 mg/kg/day PO divided q12hr for 10 days; not to exceed 4,000 mg/day
H. influenza: 75-100 mg/kg/day PO divided q8hr for 10 days; not to exceed 4,000 mg/day
S. pneumoniae (mild infection or step-down therapy or when MICs to penicillin ≤2.0 mcg/mL): 90 mg/kg/day PO divided q12hr or 45 mg/kg/day divided q8hr for 10 days; not to exceed 4,000 mg/day",
Amoxicillin,4,Infective Endocarditis (Off-label),"50 mg/kg PO 30-60 min before procedure 

Dosing considerations
- AHA guidelines recommend prophylaxis only in high-risk patients undergoing invasive procedures with history of cardiac conditions that predispose them to infection",
Ibuprofen,1,Fever,"<6 months: Safety and efficacy not established
≥6 months: 5-10 mg/kg/dose PO q6-8hr; not to exceed 400 mg/dose or 40 mg/kg/day",
Ibuprofen,2,Pain,4-10 mg/kg/dose PO q6-8hr; not to exceed 40 mg/kg/day,
Ibuprofen,3,Juvenile Idiopathic Arthritis,30-50 mg/kg/24hr PO divided q8hr; not to exceed 2.4 g/day,
Ibuprofen,4,Patent Ductus Arteriosus,"Indicated to close a clinically significant patent ductus arteriosus (PDA) in premature infants weighing between 500-1500 g, who are no more than 32 weeks gestational age when usual medical management is ineffective
Initial dose: 10 mg/kg IV, THEN  
Additional 2 doses of 5 mg/kg each, at 24 and 48 hr
If renal dysfunction, withhold 2nd/3rd dose until renal function normal
If ductus arteriosus fails to close, then a second course of ibuprofen IV, alternative pharmacological therapy, or surgery may be needed",
Acetaminophen,1,Pain & Fever Relief,"Weight-based dosing (Oral solution)
Neonates 28-31 weeks gestation: 10-15 mg/kg/dose PO q12hr prn; may administer an initial load of 20 mg/kg PO; not to exceed 40 mg/kg/day or 48 hr (consecutive) of maximum dose  
Neonates 32-37 weeks gestation: 10-15 mg/kg/dose PO q8hr prn; may administer an initial load of 20 mg/kg PO; not to exceed 60 mg/kg/day or 48 hr (consecutive) of maximum dose
Neonates 0-9 days: 10-15 mg/kg/dose PO q6-8hr prn; may administer an initial load of 20 mg/kg PO; not to exceed 60 mg/kg/day; or 48 hr (consecutive) of maximum dose
Neonates 10-29 days: 10-15 mg/kg/dose PO q4-8hr prn; may administer an initial load of 20 mg/kg PO; not to exceed 90 mg/kg/day; or 48 hr (consecutive) of maximum dose
Infants: 10-15 mg/kg/dose PO q4-6hr prn; not to exceed 15 mg/kg/dose or 75 mg/kg/day
Children and adolescents <60 kg: 10-15 mg/kg/dose PO q4-6hr prn; not to exceed 15 mg/kg/dose or 1,000 mg/dose, whichever is less or 75 mg/kg/day or 4,000 mg/day, whichever is less

Fixed dosing
<6 years: Ask a healthcare provider
6-12 years: 325-650 mg PO q4-6hr; not to exceed 1.625 g/day for not more than 5 days unless directed by healthcare provider
>12 years
Regular strength: 325-650 mg q4-6hr; not to exceed 3.25 g/day; under supervision of healthcare professional, doses of up to 4 g/day may be used
Extra strength: 1000 mg q6hr; not to exceed 3 g/24hr; under supervision of healthcare professional, doses of up to 4 g/day may be used
Extended release: 1.3 g q8hr; not to exceed 3.9 g/24hr",
Cetirizine,1,"Allergies, Hay Fever, Urticaria","<2 years: Safety and efficacy not established
2-6 years: 2.5 mg (0.5 teaspoon) oral solution PO qDay; can increase to 5 mg PO qDay or 2.5 mg PO twice daily; not to exceed 5 mg qDay
>6 years: 5-10 mg PO qDay, depending on severity of symptoms; not to exceed 10 mg qDay",
